algorithm,size,iteration,elapsed_us
radix2_aos,64,0,0.77300000000000002
radix2_aos,64,1,0.68999999999999995
radix2_aos,64,2,0.60199999999999998
radix2_aos,64,3,0.60399999999999998
radix2_aos,64,4,0.60299999999999998
radix2_aos,64,5,0.60499999999999998
radix2_aos,64,6,0.58799999999999997
radix2_aos,64,7,0.60899999999999999
radix2_aos,64,8,0.60499999999999998
radix2_aos,64,9,0.59199999999999997
radix2_aos,64,10,0.58799999999999997
radix2_aos,64,11,0.59599999999999997
radix2_aos,64,12,0.58599999999999997
radix2_aos,64,13,0.60399999999999998
radix2_aos,64,14,0.61499999999999999
radix2_aos,64,15,0.58499999999999996
radix2_aos,64,16,0.621
radix2_aos,64,17,0.61199999999999999
radix2_aos,64,18,0.60499999999999998
radix2_aos,64,19,0.623
radix2_aos,64,20,0.59899999999999998
radix2_aos,64,21,0.59899999999999998
radix2_aos,64,22,0.60099999999999998
radix2_aos,64,23,0.60099999999999998
radix2_aos,64,24,0.624
radix2_aos,64,25,0.61299999999999999
radix2_aos,64,26,0.59499999999999997
radix2_aos,64,27,0.61299999999999999
radix2_aos,64,28,0.60499999999999998
radix2_aos,64,29,0.59499999999999997
radix2_aos,64,30,0.60999999999999999
radix2_aos,64,31,0.61299999999999999
radix2_aos,64,32,0.57699999999999996
radix2_aos,64,33,0.60999999999999999
radix2_aos,64,34,0.61199999999999999
radix2_aos,64,35,0.60099999999999998
radix2_aos,64,36,0.60099999999999998
radix2_aos,64,37,0.61099999999999999
radix2_aos,64,38,0.65800000000000003
radix2_aos,64,39,0.61299999999999999
radix2_aos,128,0,1.379
radix2_aos,128,1,1.401
radix2_aos,128,2,1.3720000000000001
radix2_aos,128,3,1.333
radix2_aos,128,4,1.3420000000000001
radix2_aos,128,5,1.3140000000000001
radix2_aos,128,6,1.2949999999999999
radix2_aos,128,7,1.3129999999999999
radix2_aos,128,8,1.3129999999999999
radix2_aos,128,9,1.3500000000000001
radix2_aos,128,10,1.3160000000000001
radix2_aos,128,11,1.3320000000000001
radix2_aos,128,12,1.302
radix2_aos,128,13,1.3009999999999999
radix2_aos,128,14,1.2969999999999999
radix2_aos,128,15,1.304
radix2_aos,128,16,1.3260000000000001
radix2_aos,128,17,1.3200000000000001
radix2_aos,128,18,1.3100000000000001
radix2_aos,128,19,1.3160000000000001
radix2_aos,128,20,1.306
radix2_aos,128,21,1.3320000000000001
radix2_aos,128,22,1.3400000000000001
radix2_aos,128,23,1.335
radix2_aos,128,24,1.296
radix2_aos,128,25,1.329
radix2_aos,128,26,1.2989999999999999
radix2_aos,128,27,1.2949999999999999
radix2_aos,128,28,1.3029999999999999
radix2_aos,128,29,1.3420000000000001
radix2_aos,128,30,1.3240000000000001
radix2_aos,128,31,1.337
radix2_aos,128,32,1.3009999999999999
radix2_aos,128,33,1.294
radix2_aos,128,34,1.3069999999999999
radix2_aos,128,35,1.3180000000000001
radix2_aos,128,36,1.2969999999999999
radix2_aos,128,37,1.2989999999999999
radix2_aos,128,38,1.2989999999999999
radix2_aos,128,39,1.3
radix2_aos,256,0,3.0259999999999998
radix2_aos,256,1,3.0059999999999998
radix2_aos,256,2,3.0129999999999999
radix2_aos,256,3,2.9790000000000001
radix2_aos,256,4,2.968
radix2_aos,256,5,2.9649999999999999
radix2_aos,256,6,2.9609999999999999
radix2_aos,256,7,2.9649999999999999
radix2_aos,256,8,2.9780000000000002
radix2_aos,256,9,2.9710000000000001
radix2_aos,256,10,3.0600000000000001
radix2_aos,256,11,2.9780000000000002
radix2_aos,256,12,2.9569999999999999
radix2_aos,256,13,2.976
radix2_aos,256,14,2.9830000000000001
radix2_aos,256,15,3.0390000000000001
radix2_aos,256,16,2.9889999999999999
radix2_aos,256,17,2.972
radix2_aos,256,18,3.0049999999999999
radix2_aos,256,19,2.9780000000000002
radix2_aos,256,20,2.9700000000000002
radix2_aos,256,21,2.9900000000000002
radix2_aos,256,22,3.0070000000000001
radix2_aos,256,23,10.974
radix2_aos,256,24,3.1030000000000002
radix2_aos,256,25,3.0910000000000002
radix2_aos,256,26,3.0489999999999999
radix2_aos,256,27,3.0249999999999999
radix2_aos,256,28,3.0590000000000002
radix2_aos,256,29,3.0070000000000001
radix2_aos,256,30,3.0499999999999998
radix2_aos,256,31,2.9809999999999999
radix2_aos,256,32,2.9710000000000001
radix2_aos,256,33,2.9590000000000001
radix2_aos,256,34,2.9529999999999998
radix2_aos,256,35,2.9790000000000001
radix2_aos,256,36,2.9860000000000002
radix2_aos,256,37,2.9670000000000001
radix2_aos,256,38,3.0019999999999998
radix2_aos,256,39,2.964
radix2_aos,512,0,6.6920000000000002
radix2_aos,512,1,6.7919999999999998
radix2_aos,512,2,6.7199999999999998
radix2_aos,512,3,6.8150000000000004
radix2_aos,512,4,6.7839999999999998
radix2_aos,512,5,6.7009999999999996
radix2_aos,512,6,6.7809999999999997
radix2_aos,512,7,6.8380000000000001
radix2_aos,512,8,6.7400000000000002
radix2_aos,512,9,6.6799999999999997
radix2_aos,512,10,6.7469999999999999
radix2_aos,512,11,6.6989999999999998
radix2_aos,512,12,6.6689999999999996
radix2_aos,512,13,6.7050000000000001
radix2_aos,512,14,6.6859999999999999
radix2_aos,512,15,6.6900000000000004
radix2_aos,512,16,6.5780000000000003
radix2_aos,512,17,6.6989999999999998
radix2_aos,512,18,6.6719999999999997
radix2_aos,512,19,6.7210000000000001
radix2_aos,512,20,6.6020000000000003
radix2_aos,512,21,6.5839999999999996
radix2_aos,512,22,6.6230000000000002
radix2_aos,512,23,6.5410000000000004
radix2_aos,512,24,6.5780000000000003
radix2_aos,512,25,6.577
radix2_aos,512,26,6.6660000000000004
radix2_aos,512,27,6.6189999999999998
radix2_aos,512,28,6.6689999999999996
radix2_aos,512,29,6.5810000000000004
radix2_aos,512,30,6.6230000000000002
radix2_aos,512,31,6.569
radix2_aos,512,32,6.6150000000000002
radix2_aos,512,33,6.6230000000000002
radix2_aos,512,34,6.5970000000000004
radix2_aos,512,35,6.6120000000000001
radix2_aos,512,36,6.7069999999999999
radix2_aos,512,37,6.6470000000000002
radix2_aos,512,38,6.6390000000000002
